0.jpg,norm
1.jpg,norm
105.jpg,norm
125.jpg,defect5
128.jpg,defect8
101.jpg,defect10
103.jpg,defect10
12.jpg,norm
115.jpg,defect2
121.jpg,defect4
126.jpg,defect7
142.jpg,defect9
110.jpg,defect4
117.jpg,defect11
109.jpg,defect10
100.jpg,defect5
111.jpg,defect5
123.jpg,defect10
112.jpg,defect6
131.jpg,norm
140.jpg,defect5
149.jpg,defect7
116.jpg,defect8
134.jpg,defect11
13.jpg,norm
124.jpg,norm
129.jpg,defect11
148.jpg,norm
120.jpg,defect5
136.jpg,norm
145.jpg,norm
106.jpg,defect5
147.jpg,defect7
127.jpg,defect4
10.jpg,norm
113.jpg,norm
144.jpg,defect5
143.jpg,norm
132.jpg,defect5
15.jpg,defect7
137.jpg,defect2
133.jpg,defect10
122.jpg,defect2
11.jpg,defect6
130.jpg,defect4
104.jpg,defect11
119.jpg,defect10
114.jpg,defect5
138.jpg,defect8
150.jpg,defect6
102.jpg,defect10
108.jpg,defect3
107.jpg,norm
139.jpg,norm
14.jpg,defect5
118.jpg,defect6
151.jpg,norm
135.jpg,defect10
141.jpg,defect11
146.jpg,defect8
152.jpg,defect8
153.jpg,norm
154.jpg,norm
156.jpg,defect6
177.jpg,norm
187.jpg,defect5
200.jpg,norm
174.jpg,norm
189.jpg,norm
184.jpg,defect5
170.jpg,defect7
173.jpg,defect2
161.jpg,defect10
183.jpg,norm
195.jpg,norm
155.jpg,defect5
206.jpg,defect11
180.jpg,norm
175.jpg,defect2
201.jpg,defect11
191.jpg,defect6
169.jpg,defect4
215.jpg,norm
165.jpg,norm
176.jpg,defect11
164.jpg,defect1
208.jpg,defect8
182.jpg,defect10
172.jpg,defect9
211.jpg,defect8
20.jpg,norm
163.jpg,norm
166.jpg,defect2
16.jpg,defect8
217.jpg,defect6
18.jpg,defect10
160.jpg,norm
193.jpg,defect3
209.jpg,defect2
171.jpg,defect11
194.jpg,defect1
198.jpg,norm
223.jpg,norm
158.jpg,defect8
218.jpg,norm
186.jpg,defect5
228.jpg,defect10
214.jpg,defect5
17.jpg,norm
222.jpg,norm
162.jpg,defect2
23.jpg,norm
188.jpg,defect5
22.jpg,defect11
212.jpg,norm
210.jpg,defect2
220.jpg,norm
157.jpg,norm
233.jpg,defect8
159.jpg,defect10
239.jpg,norm
237.jpg,defect6
230.jpg,defect2
19.jpg,defect10
